County,School type,Name of school or school district,Vaccination rate (kindergarten),Epidemic probability (theoretical),Total students in district,Outbreak probability for district,Total elementary students in district,Outbreak probability for all elementary students,Elementary schools in district,Average elementary school enrollment,Outbreak probability for average-sized elementary school,size10,size25,size100,size250,size500,size750,size1000,size1500,size2500,size5000,,,,,,
Dallas,Public,A W Brown Leadership Academy,60,83.3,–,–,–,–,–,–,–,0,78,87.3,87.3,87.2,88.2,87.7,87.2,87.9,87.8,,,,,,
Dallas,Public,A+ Academy,98.2,0.0,1678,0,888,0,1,888,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Hill,Public,Abbott Isd,100,0.0,284,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,
Hale,Public,Abernathy Isd,92.7,8.7,808,21.9,400,18.2,1,400,18.2,0,0,0,15,20.3,21.7,22.4,23.3,23.5,24.2,,,,,,
Taylor,Private,Abilene Christian School,89.7,35.3,–,–,–,–,–,–,–,0,0,14.7,34.5,39.4,40.3,40.2,41.3,41.6,42.1,,,,,,
Taylor,Public,Abilene Isd,97,0.0,14534,1.4,7529,1.4,15,501.9,0.2,0,0,0,0,0.2,0.7,0.8,0.9,1.2,1.4,,,,,,
Galveston,Private,Abundant Life Christian School,77.8,70.0,–,–,–,–,–,–,–,0,0,72.2,73.1,74.4,74.3,74.3,74.3,74.5,74.5,,,,,,
Bell,Public,Academy Isd,96.5,0.0,1832,2.2,869,1.5,3,289.6,0.1,0,0,0,0,0.9,1.5,1.6,2.1,2.4,2.7,,,,,,
Harris,Public,Academy Of Accelerated Learning Inc,83,60.8,738,65.2,738,65.2,1,738,65.2,0,0,56.7,64.2,64.2,65.2,64.9,65.2,65.4,65.4,,,,,,
Harris,Public,Accelerated Intermediate Academy,90,33.3,105,6.7,90,5,1,90,5,0,0,5.8,32.5,37,38,38.9,39.6,40.1,40.4,,,,,,
Harris,Private,Acton Academy Cy-Fair,50,86.7,–,–,–,–,–,–,–,0,89.8,90.4,90.7,90.7,90.4,90.9,90.6,91.2,91.2,,,,,,
Travis,Private,Acton Academy Northwest Austin,63,82.0,–,–,–,–,–,–,–,0,78,85.5,86.4,86.3,86.4,86,86.4,86.7,86.8,,,,,,
Harris,Private,Acton Leadership Academy Of Creekside,50,86.7,–,–,–,–,–,–,–,0,89.8,90.4,90.7,90.7,90.4,90.9,90.6,91.2,91.2,,,,,,
Montgomery,Private,Acton Leadership Academy Of Magnolia,36.4,89.5,–,–,–,–,–,–,–,0,93,93.6,93.6,93.8,93.5,93.4,93.6,93.6,93.8,,,,,,
Ector,Private,Adinvita,100,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,
Dallas,Public,Advantage Academy,96,0.0,972,3.1,–,–,–,–,–,0,0,0,0,1.6,2.6,3.2,3.6,4.1,4.4,,,,,,
Hays,Private,Advent Ridge Academy,100,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,
Travis,Private,Aesa Prep Academy,54.6,85.3,–,–,–,–,–,–,–,0,88,89.7,89.7,89.7,89.6,89.6,89.7,89.6,89.8,,,,,,
