County,School Type,Name of school or school district,Vaccination Rate (7th grade),Risk Rank (out of 1545),Risk Percentile,Epidemic Probability (theoretical),Total students in district,Outbreak probability for district,Total middle school students in district,Outbreak probability for all middle school students,Middle schools in district,Average middle school enrollment,Outbreak probability for averaged-sized middle school,size10,size25,size100,size250,size500,size750,size1000,size1500,size2500,size5000,,,,,,,
Dallas,Public,A W Brown Leadership Academy,93.5,267,17.3%,0.0,–,–,–,–,–,–,–,0,0,0,9.4,14.5,16,16.9,17.7,19,19.3,,,,,,,
Dallas,Public,A+ Academy,98.4,583,37.7%,0.0,1678,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harris,Public,A+ Unlimited Potential,83,80,5.2%,60.8,203,61.9,156,59.5,1,156,59.5,0,0,56.7,64.2,64.2,65.2,64.9,65.2,65.4,65.4,,,,,,,
Hill,Public,Abbott Isd,91.3,191,12.4%,23.4,284,24.7,–,–,–,–,–,0,0,0,24,29.6,31.2,31.8,32.3,32.9,32.8,,,,,,,
Hale,Public,Abernathy Isd,100,583,37.7%,0.0,808,0,171,0,1,171,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Taylor,Private,Abilene Christian School,93.6,275,17.8%,0.0,–,–,–,–,–,–,–,0,0,0,7.1,13.2,14.9,16,17,17.7,18.5,,,,,,,
Taylor,Public,Abilene Isd,100,583,37.7%,0.0,14534,0,3010,0,4,752.5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bell,Public,Academy Isd,98.5,583,37.7%,0.0,1832,0,417,0,1,417,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harris,Public,Academy Of Accelerated Learning Inc,90.7,174,11.3%,28.3,738,34.9,–,–,–,–,–,0,0,5.8,29.4,33.6,34.9,34.6,35.2,36,36.8,,,,,,,
Travis,Private,Academy Of Thought And Industry,83.3,82,5.3%,60.1,–,–,–,–,–,–,–,0,0,56.7,61.9,63.8,64.2,64.4,64.7,64.2,64.6,,,,,,,
Tarrant,Public,Academy Of Visual And Performing Arts,95.2,361,23.4%,0.0,146,0.3,146,0.3,1,146,0.3,0,0,0,1,4.3,5.8,6.4,7.1,7.7,8.4,,,,,,,
Harris,Public,Accelerated Intermediate Academy,100,583,37.7%,0.0,105,0,15,0,1,15,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Travis,Private,Ace Academy,100,583,37.7%,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harris,Private,Acton Academy Cy-Fair,71.4,33,2.1%,76.7,–,–,–,–,–,–,–,0,0,80.1,80.7,80.5,80.5,81.2,80.8,81.5,81.3,,,,,,,
Montgomery,Private,Acton Leadership Academy Of Magnolia,50,3,0.2%,86.7,–,–,–,–,–,–,–,0,89.8,90.4,90.7,90.7,90.4,90.9,90.6,91.2,91.2,,,,,,,
Oldham,Public,Adrian Isd,100,583,37.7%,0.0,141,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dallas,Public,Advantage Academy,98,583,37.7%,0.0,972,0,–,–,–,–,–,0,0,0,0,0,0,0,0.1,0.1,0.1,,,,,,,
Travis,Private,Aesa Prep Academy,66.7,19,1.2%,80.0,–,–,–,–,–,–,–,0,0,83.8,84.6,84.1,84.3,84.5,84.3,84.7,84.6,,,,,,,
Nueces,Public,Agua Dulce Isd,100,583,37.7%,0.0,421,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Bexar,Public,Alamo Heights Isd,99.4,583,37.7%,0.0,4749,0,1123,0,1,1123,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wood,Public,Alba-Golden Isd,98.5,583,37.7%,0.0,713,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dallas,Private,Alcuin School,97.2,562,36.4%,0.0,–,–,–,–,–,–,–,0,0,0,0,0.1,0.3,0.5,0.8,0.9,1.1,,,,,,,
Parker,Public,Aledo Isd,96.9,509,32.9%,0.0,8430,1.6,1947,1.3,2,973.5,0.9,0,0,0,0,0.4,0.8,0.9,1.2,1.4,1.6,,,,,,,
Jim Wells,Public,Alice Isd,98.8,583,37.7%,0.0,4297,0,933,0,1,933,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Harris,Public,Alief Isd,93.9,284,18.4%,0.0,38611,16.7,10560,16.7,12,880,13.7,0,0,0,7.1,11.5,13.4,13.9,15.3,16.1,16.7,,,,,,,
Harris,Public,Alief Montessori Community School,100,583,37.7%,0.0,367,0,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Dallas,Private,All Saints Catholic School Dallas,100,583,37.7%,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Tarrant,Private,All Saints Catholic School Fort Worth,100,583,37.7%,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Jefferson,Private,All Saints Episcopal School Beaumont,96.9,509,32.9%,0.0,–,–,–,–,–,–,–,0,0,0,0,0.4,0.8,0.9,1.2,1.4,1.6,,,,,,,
Tarrant,Private,All Saints Episcopal School Fort Worth,98.8,583,37.7%,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Lubbock,Private,All Saints Episcopal School Lubbock,96.6,483,31.3%,0.0,–,–,–,–,–,–,–,0,0,0,0,0.6,1.2,1.4,1.7,2,2.3,,,,,,,
Smith,Private,All Saints Episcopal School Tyler,98.4,583,37.7%,0.0,–,–,–,–,–,–,–,0,0,0,0,0,0,0,0,0,0,,,,,,,
Brazos,Private,Allen Academy,90.9,175,11.3%,26.7,–,–,–,–,–,–,–,0,0,5.8,27.1,32.3,33.7,33.9,34.7,35.1,35.5,,,,,,,
Collin,Public,Allen Isd,97.8,583,37.7%,0.0,20655,0.2,3288,0.2,3,1096,0.1,0,0,0,0,0,0,0.1,0.1,0.2,0.2,,,,,,,
Walker,Private,Alpha Omega Academy,90.9,175,11.3%,26.7,–,–,–,–,–,–,–,0,0,5.8,27.1,32.3,33.7,33.9,34.7,35.1,35.5,,,,,,,
Travis,Private,Alpha School,83.3,82,5.3%,60.1,–,–,–,–,–,–,–,0,0,56.7,61.9,63.8,64.2,64.4,64.7,64.2,64.6,,,,,,,
Brewster,Public,Alpine Isd,90.2,168,10.9%,32.0,905,37.6,244,31.4,1,244,31.4,0,0,5.8,32.5,36.1,37,38.1,38.1,39.1,39.3,,,,,,,
Cherokee,Public,Alto Isd,100,583,37.7%,0.0,505,0,152,0,1,152,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Johnson,Public,Alvarado Isd,97.8,583,37.7%,0.0,3788,0.2,862,0,1,862,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,,,,,,,
Brazoria,Public,Alvin Isd,99.4,583,37.7%,0.0,30013,0,6738,0,9,748.6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Wise,Public,Alvord Isd,98.4,583,37.7%,0.0,844,0,182,0,1,182,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
