County,School Type,School District or Name,MMR Vaccination Rate,Age Group,metric,school size 10,school size 25,school size 100,school size 250,school size 500,school size 750,school size 1000,school size 1500,school size 2500,school size 5000,average_school_size,metric_average_school_size
dallas,Public ISD,A W BROWN LEADERSHIP ACADEMY,60,Kindergarten,probability_exceeding_10_total_cases,0,0.756,0.8635,0.853,0.854,0.8625,0.858,0.859,0.859,0.8575,,0.854
dallas,Public ISD,A W BROWN LEADERSHIP ACADEMY,60,Kindergarten,total_infected_mean,3.3785,8.4475,34.58,85.248,170.521,258.2995,342.559,514.3695,857.1945,1711.2235,,170.521
dallas,Public ISD,A+ ACADEMY,98.2,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0.0005,0,0.001,0,0,839,0
dallas,Public ISD,A+ ACADEMY,98.2,Kindergarten,total_infected_mean,1,1,1.138,1.2785,1.287,1.3665,1.345,1.35,1.3985,1.3795,839,1.358846
hill,Public ISD,ABBOTT ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,284,0
hill,Public ISD,ABBOTT ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,284,1
hale,Public ISD,ABERNATHY ISD,92.7,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.145,0.2025,0.226,0.2075,0.225,0.218,0.245,269,0.14937
hale,Public ISD,ABERNATHY ISD,92.7,Kindergarten,total_infected_mean,1,1.394,2.6885,3.9885,5.4095,6.677,6.922,8.995,10.333,15.896,269,4.096496
taylor,Public ISD,ABILENE ISD,97,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.001,0.007,0.0065,0.01,0.0095,0.014,559,0.002416
taylor,Public ISD,ABILENE ISD,97,Kindergarten,total_infected_mean,1,1,1.2975,1.561,1.6465,1.693,1.725,1.7605,1.7255,1.821,559,1.657474
bell,Public ISD,ACADEMY ISD,96.5,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0.007,0.014,0.0175,0.0205,0.0255,0.024,366,0
bell,Public ISD,ACADEMY ISD,96.5,Kindergarten,total_infected_mean,1,1,1.4945,1.711,1.8505,1.939,2.036,2.021,2.0785,2.134,366,1.775728
harris,Public ISD,ACADEMY OF ACCELERATED LEARNING INC,83,Kindergarten,probability_exceeding_10_total_cases,0,0,0.546,0.6335,0.619,0.632,0.6405,0.6415,0.637,0.6315,738,0.631376
harris,Public ISD,ACADEMY OF ACCELERATED LEARNING INC,83,Kindergarten,total_infected_mean,1.6155,3.301,9.278,24.692,46.8715,72.72,97.405,146.933,242.4355,482.3515,738,71.479272
harris,Public ISD,ACCELERATED INTERMEDIATE ACADEMY,90,Kindergarten,probability_exceeding_10_total_cases,0,0,0.058,0.2995,0.342,0.3515,0.3795,0.3885,0.388,0.3885,52,0
harris,Public ISD,ACCELERATED INTERMEDIATE ACADEMY,90,Kindergarten,total_infected_mean,1,1.879,3.6575,6.821,11.375,15.5895,21.199,30.666,48.424,92.614,52,2.51926
dallas,Public ISD,ADVANTAGE ACADEMY,96,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.0005,0.012,0.02,0.0235,0.0335,0.0435,0.045,972,0.023108
dallas,Public ISD,ADVANTAGE ACADEMY,96,Kindergarten,total_infected_mean,1,1,1.4835,1.847,2.057,2.1205,2.1945,2.325,2.437,2.447,972,2.186212
travis,Private School,AESA Prep Academy,54.6,Kindergarten,probability_exceeding_10_total_cases,0,0.8545,0.873,0.871,0.8635,0.867,0.88,0.8875,0.8715,0.886,,0.8635
travis,Private School,AESA Prep Academy,54.6,Kindergarten,total_infected_mean,4.3525,10.4365,40.2455,99.3095,195.948,295.505,399.276,603.894,988.334,2009.4105,,195.948
nueces,Public ISD,AGUA DULCE ISD,100,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,210,0
nueces,Public ISD,AGUA DULCE ISD,100,Kindergarten,total_infected_mean,1,1,1,1,1,1,1,1,1,1,210,1
bexar,Public ISD,ALAMO HEIGHTS ISD,98.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0,0,0,0,0,0,0,949,0
bexar,Public ISD,ALAMO HEIGHTS ISD,98.6,Kindergarten,total_infected_mean,1,1,1.141,1.1965,1.216,1.268,1.229,1.239,1.246,1.257,949,1.236956
wood,Public ISD,ALBA-GOLDEN ISD,87,Kindergarten,probability_exceeding_10_total_cases,0,0,0.315,0.4895,0.51,0.5095,0.5045,0.4965,0.522,0.5185,285,0.49237
wood,Public ISD,ALBA-GOLDEN ISD,87,Kindergarten,total_infected_mean,1.589,2.521,5.753,13.377,25.351,37.998,49.4805,73.32,128.393,254.873,285,15.05336
parker,Public ISD,ALEDO ISD,92.6,Kindergarten,probability_exceeding_10_total_cases,0,0,0,0.142,0.2185,0.219,0.226,0.23,0.2285,0.243,702,0.218904
parker,Public ISD,ALEDO ISD,92.6,Kindergarten,total_infected_mean,1,1.385,2.719,3.9135,5.7,6.443,7.659,9.175,11.5535,17.0495,702,6.300344
