County,District_ISD,School_name,Grade_range,School_enroll_2023
DALLAS,A W BROWN LEADERSHIP ACADEMY,QUEST CAMPUS PRE-K THRU 8,EE-08,435
DALLAS,A W BROWN LEADERSHIP ACADEMY,GENESIS CAMPUS PRE-K THRU 5,PK-05,343
DALLAS,A+ ACADEMY,A+ ACADEMY EL,PK-06,897
DALLAS,A+ ACADEMY,A+ SECONDARY SCHOOL,07-12,752
HARRIS,A+ UNLIMITED POTENTIAL,A+ UNLIMITED POTENTIAL - UNIVERSITY,06-08,150
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS COUNTY JUVENILE JUSTICE,03-12,213
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,DRC CAMPUS,09-11,5
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,MEDLOCK YOUTH VILLAGE,07-12,87
DALLAS,ACADEMY FOR ACADEMIC EXCELLENCE,LETOT CAMPUS,07-12,38
HARRIS,ACADEMY OF ACCELERATED LEARNING INC,ACADEMY OF ACCELERATED LEARNING,EE-08,830
DALLAS,ACADEMY OF DALLAS,ACADEMY OF DALLAS,EE-08,354
HARRIS,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INT CHARTER SCHOOL,07-08,27
HARRIS,ACCELERATED INTERMEDIATE ACADEMY,ACCELERATED INTERDISCIPLINARY ACAD,EE-06,165
DALLAS,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,PK-12,971
HARRIS,ALIEF MONTESSORI COMMUNITY SCHOOL,ALIEF MONTESSORI COMMUNITY SCHOOL,EE-08,384
GALVESTON,AMBASSADORS PREPARATORY ACADEMY,AMBASSADORS PREPARATORY ACADEMY,EE-08,162
HARRIS,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,PK-05,484
HARRIS,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,FRIENDS FOR LIFE MIDDLE,06-08,210
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL UPPER SCHOOL,05-12,665
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY-CYPRESS,KG-08,433
HARRIS,ARISTOI CLASSICAL ACADEMY,ARISTOI CLASSICAL ACADEMY,KG-04,437
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY - MIDDLE,06-08,494
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,KG-02,479
TARRANT,ARLINGTON CLASSICS ACADEMY,ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,03-05,521
BRAZOS,ARROW ACADEMY,ARROW ACADEMY - SAVE OUR STREETS CENTER,KG-06,132
HARRIS,ARROW ACADEMY,ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,KG-06,171
HARRIS,ARROW ACADEMY,ARROW ACADEMY - CHAMPIONS ACADEMY,KG-05,66
FORT BEND,ARROW ACADEMY,ARROW ACADEMY - LIBERATION ACADEMY,KG-06,225
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE MIDDLE,05-08,647
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE H S,09-12,633
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE NORTHEAST EL,PK-04,903
TRAVIS,AUSTIN ACHIEVE PUBLIC SCHOOLS,AUSTIN ACHIEVE FERGUSON,EE-08,76
TRAVIS,AUSTIN DISCOVERY SCHOOL,AUSTIN DISCOVERY SCH,KG-06,261
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,RIPLEY HOUSE MIDDLE CAMPUS,06-08,168
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,RIPLEY HOUSE CHARTER SCHOOL,PK-05,328
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,NCI CHARTER SCHOOL WITHOUT WALLS,PK-02,897
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,BAKER-RIPLEY CHARTER SCHOOL,PK-06,398
HARRIS,BAKERRIPLEY COMMUNITY SCHOOLS,NEW NEIGHBOR CAMPUS,PK,33
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,KG-05,735
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO- SHAVANO CAMPUS,06-12,1038
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO - JACK LEWIS JR CAMPUS,06-12,132
TRAVIS,BASIS TEXAS,BASIS AUSTIN,03-06,211
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,KG-05,771
TRAVIS,BASIS TEXAS,BASIS AUSTIN PRI,KG-02,201
WILLIAMSON,BASIS TEXAS,BASIS CEDAR PARK,06-12,279
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI - JACK LEWIS JR CAMPUS,KG-05,514
WILLIAMSON,BASIS TEXAS,BASIS CEDAR PARK PRI,KG-05,718
BEXAR,BASIS TEXAS,BASIS SAN ANTONIO PRI - NORTHEAST CAMPUS,KG-04,282
TARRANT,BASIS TEXAS,BASIS BENBROOK,KG-06,459
HARRIS,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,KG-08,458
HARRIS,BETA ACADEMY,BETA ACADEMY,06-12,502
HARRIS,BETA ACADEMY,BETA ACADEMY,EE-05,984
LUBBOCK,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,KG-05,174
BEXAR,BEXAR COUNTY ACADEMY,BEXAR COUNTY ACADEMY,EE-08,198
KERR,BIG SPRINGS CHARTER SCHOOL,HILL COUNTRY YOUTH RANCH,KG-12,80
REAL,BIG SPRINGS CHARTER SCHOOL,BIG SPRINGS CHARTER SCHOOL,KG-12,105
HARRIS,BLOOM ACADEMY CHARTER SCHOOL,BLOOM ACADEMY CHARTER SCHOOL,KG-05,400
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE H S,09-12,551
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL,06-08,443
HARRIS,BOB HOPE SCHOOL,BOB HOPE EL SCHOOL-BAYTOWN,EE-05,271
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL - EL CAMPUS,PK-05,642
JEFFERSON,BOB HOPE SCHOOL,BOB HOPE SCHOOL BEAUMONT,PK-08,602
SOMERVELL,BRAZOS RIVER CHARTER SCHOOL,BRAZOS RIVER CHARTER SCHOOL,KG-12,66
BRAZOS,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY BRYAN/COL,PK-08,134
HARRIS,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS SCHOOL FOR INQUIRY AND CREATIVITY TIDWELL,PK-08,158
DENTON,BRIDGEWAY PREPARATORY ACADEMY,BRIDGEWAY PREPARATORY ACADEMY,EE-08,125
HIDALGO,BRILLANTE ACADEMY,BRILLANTE ACADEMY,EE-05,196
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,HOWARD BURNHAM EL,PK-05,316
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,06-12,965
EL PASO,BURNHAM WOOD CHARTER SCHOOL DISTRICT,THE LINGUISTIC ACAD OF EL PASO-CULTURAL DEMO SITE,PK-06,378
HARRIS,CALVIN NELMS CHARTER SCHOOLS,CALVIN NELMS H S,09-12,168
HARRIS,CALVIN NELMS CHARTER SCHOOLS,CALVIN NELMS MIDDLE,06-08,156
TRAVIS,CEDARS INTERNATIONAL ACADEMY,CEDARS ACADEMY NEXT GENERATION H S AT HIGHLAND,09-12,112
TRAVIS,CEDARS INTERNATIONAL ACADEMY,CEDARS INTERNATIONAL ACADEMY,PK-08,349
TRAVIS,CHAPARRAL STAR ACADEMY,CHAPARRAL STAR ACADEMY,KG-12,360
TARRANT,CHAPEL HILL ACADEMY,CHAPEL HILL ACADEMY,PK-08,535
DALLAS,CITYSCAPE SCHOOLS,BUCKNER PREPARATORY,EE-12,394
DALLAS,CITYSCAPE SCHOOLS,EAST GRAND PREPARATORY ACADEMY,PK-12,836
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE LEGACY,06-12,550
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE LEGACY EL,PK-05,326
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE INGENUITY,PK-12,736
TRAVIS,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE DESTINY,PK-12,655
BASTROP,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE HARVEST,PK-12,462
BEXAR,COMPASS ROSE PUBLIC SCHOOLS,COMPASS ROSE IMPACT,09-12,76
