County,Grade_range,School_enroll_2023,School_Type,District_ISD,District_enroll_2023,School_name,geometry
DALLAS,EE-08,435,Elementary School,A W BROWN LEADERSHIP ACADEMY,778,QUEST CAMPUS PRE-K THRU 8,"c(-96.881589, 32.6778390000001)"
DALLAS,PK-05,343,Elementary School,A W BROWN LEADERSHIP ACADEMY,778,GENESIS CAMPUS PRE-K THRU 5,"c(-96.881589, 32.6778390000001)"
DALLAS,PK-06,897,Elementary School,A+ ACADEMY,1649,A+ ACADEMY EL,"c(-96.6451995, 32.6929500000001)"
DALLAS,07-12,752,High School,A+ ACADEMY,1649,A+ SECONDARY SCHOOL,"c(-96.6506985, 32.7062340000001)"
HARRIS,06-08,150,Middle School,A+ UNLIMITED POTENTIAL,150,A+ UNLIMITED POTENTIAL - UNIVERSITY,"c(-95.3653995, 29.742381)"
HILL,EE-12,284,Elementary/Secondary,ABBOTT ISD,284,ABBOTT SCHOOL,"c(-97.07688, 31.883202)"
HALE,06-12,5,Elementary/Secondary,ABERNATHY ISD,812,ABERNATHY DAEP,"c(-101.713233918, 34.193344261)"
HALE,09-12,225,High School,ABERNATHY ISD,812,ABERNATHY H S,"c(-101.844419043, 33.8302575210001)"
HALE,EE-05,412,Elementary School,ABERNATHY ISD,812,ABERNATHY EL,"c(-101.844419043, 33.8302575210001)"
HALE,06-08,170,Middle School,ABERNATHY ISD,812,ABERNATHY MIDDLE,"c(-101.844419043, 33.8302575210001)"
TAYLOR,09-12,1596,High School,ABILENE ISD,14652,COOPER H S,"c(-99.7497135, 32.4061110000001)"
TAYLOR,06-12,149,Elementary/Secondary,ABILENE ISD,14652,WOODSON CENTER FOR EXCELLENCE,"c(-99.7172235, 32.4521820000001)"
TAYLOR,09-12,1903,High School,ABILENE ISD,14652,ABILENE H S,"c(-99.7557839999999, 32.457141)"
TAYLOR,04-12,8,Elementary/Secondary,ABILENE ISD,14652,TAYLOR COUNTY LEARNING CENTER,"c(-99.7460775, 32.489424)"
TAYLOR,06-08,778,Middle School,ABILENE ISD,14652,MADISON MIDDLE,"c(-99.75843, 32.413302)"
TAYLOR,06-08,759,Middle School,ABILENE ISD,14652,MANN MIDDLE,"c(-99.76257, 32.4803880000001)"
TAYLOR,KG-12,96,Elementary/Secondary,ABILENE ISD,14652,DAEP,"c(-99.7303365, 32.4398160000001)"
TAYLOR,06-08,740,Middle School,ABILENE ISD,14652,CLACK MIDDLE,"c(-99.7970175, 32.4274590000001)"
TAYLOR,04-12,14,Elementary/Secondary,ABILENE ISD,14652,JUVENILE DETENTION CENTER,"c(-99.733311, 32.4182700000001)"
TAYLOR,EE KG-05,478,Elementary School,ABILENE ISD,14652,BONHAM EL,"c(-99.7774155, 32.44293)"
TAYLOR,EE KG-05,699,Elementary School,ABILENE ISD,14652,AUSTIN EL,"c(-99.7736535, 32.420331)"
TAYLOR,EE KG-05,592,Elementary School,ABILENE ISD,14652,DYESS EL,"c(-99.826382734, 32.426659585)"
TAYLOR,EE KG-05,478,Elementary School,ABILENE ISD,14652,BOWIE EL,"c(-99.7436069999999, 32.423868)"
TAYLOR,06-08,757,Middle School,ABILENE ISD,14652,CRAIG MIDDLE,"c(-99.7079444999999, 32.441355)"
TAYLOR,EE,132,Elementary School,ABILENE ISD,14652,CROCKETT EARLY HEADSTART,"c(-99.7628715, 32.434938)"
TAYLOR,EE KG-05,395,Elementary School,ABILENE ISD,14652,ALCORTA EL,"c(-99.755433, 32.4132750000001)"
TAYLOR,EE KG-05,594,Elementary School,ABILENE ISD,14652,PURCELL EL,"c(-99.7681185, 32.4642870000001)"
TAYLOR,EE KG-05,458,Elementary School,ABILENE ISD,14652,STAFFORD EL,"c(-99.7802505, 32.462973)"
TAYLOR,EE KG-05,389,Elementary School,ABILENE ISD,14652,THOMAS EL,"c(-99.718758, 32.4340560000001)"
TAYLOR,EE KG-05,473,Elementary School,ABILENE ISD,14652,WARD EL,"c(-99.7716465, 32.3991)"
TAYLOR,EE KG-05,447,Elementary School,ABILENE ISD,14652,ORTIZ EL,"c(-99.75312, 32.480064)"
TAYLOR,PK-12,7,Elementary/Secondary,ABILENE ISD,14652,OCEANS BEHAVIORAL HEALTH,"c(-99.739143, 32.3999370000001)"
TAYLOR,EE KG-05,640,Elementary School,ABILENE ISD,14652,TAYLOR EL,"c(-99.695241, 32.4583650000001)"
TAYLOR,EE-PK,751,Elementary School,ABILENE ISD,14652,LONG EARLY LEARNING CENTER,"c(-99.7674975, 32.477562)"
TAYLOR,EE KG-05,391,Elementary School,ABILENE ISD,14652,MARTINEZ EL,"c(-99.7435665, 32.464215)"
TAYLOR,EE KG-05,542,Elementary School,ABILENE ISD,14652,BASSETTI EL,"c(-99.797292, 32.412447)"
DALLAS,03-12,213,Elementary/Secondary,ACADEMY FOR ACADEMIC EXCELLENCE,343,DALLAS COUNTY JUVENILE JUSTICE,"c(-96.8667337749999, 32.769485343)"
DALLAS,09-11,5,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,DRC CAMPUS,"c(-96.868791, 32.7720870000001)"
DALLAS,07-12,87,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,MEDLOCK YOUTH VILLAGE,"c(-96.705369, 32.6664270000001)"
DALLAS,07-12,38,High School,ACADEMY FOR ACADEMIC EXCELLENCE,343,LETOT CAMPUS,"c(-96.8808735, 32.8675410000001)"
BELL,01-05,702,Elementary School,ACADEMY ISD,1814,ACADEMY EL,"c(-97.349462536, 30.983286295)"
BELL,06-08,401,Middle School,ACADEMY ISD,1814,ACADEMY J H,"c(-97.349130841, 30.9832417110001)"
BELL,EE-KG,172,Elementary School,ACADEMY ISD,1814,ACADEMY EARLY CHILDHOOD CENTER,"c(-97.339257, 30.9838950000001)"
BELL,09-12,539,High School,ACADEMY ISD,1814,ACADEMY H S,"c(-97.3456424999999, 30.9828600000001)"
HARRIS,EE-08,830,Elementary School,ACADEMY OF ACCELERATED LEARNING INC,830,ACADEMY OF ACCELERATED LEARNING,"c(-95.311053, 29.668059)"
DALLAS,EE-08,354,Elementary School,ACADEMY OF DALLAS,354,ACADEMY OF DALLAS,"c(-96.836175, 32.7229380000001)"
