County,NAME
VICTORIA,ST JOHN'S SCHOOL
HARRIS,A & B NURSERY SCHOOL
COLLIN,A+ PREP SCHOOL
WILLIAMSON,ABACUS SCHOOL OF AUSTIN
ARANSAS,ABC LEARNING CENTER
HARRIS,ABIDING WORD LUTHERAN SCHOOL
TAYLOR,ABILENE CHRISTIAN SCHOOLS
TAYLOR,ABILENE JUNIOR ACADEMY
GALVESTON,ABUNDANT LIFE CHRISTIAN SCHOOL
TRAVIS,ACADEMY OF THOUGHT AND INDUSTRY AUSTIN
TRAVIS,ACE ACADEMY
BEXAR,ACHIEVERS CENTER FOR EDUCATION
TRAVIS,ACTON IMPRIMIS LAKE TRAVIS
SMITH,ACUTE CHILDRENS MONTESSORI ACADEMY
DALLAS,ADVANCED PREPARATORY INTERNATIONAL
HAYS,ADVENT RIDGE ACADEMY
DALLAS,ADVENTURE DISCOVERY CENTER NUMBER 3
HAYS,AESA PREP ACADEMY
BRAZOS,AGGIELAND COUNTRY SCHOOL
TRAVIS,AHB COMMUNITY SCHOOL
DALLAS,AKIBA YAVNEH ACADEMY
HARRIS,AL-HADI SCHOOL OF ACCELERATIVE LEARNING
DALLAS,ALCUIN SCHOOL
DENTON,"ALDEN MONTESSORI SCHOOL, LLC"
FORT BEND,ALEM LLC DBA KIDDIE ACADEMY OF KATY WEST
DALLAS,ALHAMEED BOYS AND AMATUR RAHMAN GIRLS ACADEMIES
JIM WELLS,ALICE CHRISTIAN SCHOOL
MONTGOMERY,ALL NATIONS COMMUNITY SCHOOL
COLLIN,ALL SAINTS CATHOLIC SCHOOL
TARRANT,ALL SAINTS CATHOLIC SCHOOL
TRAVIS,ALL SAINTS EPISCOPAL DAY SCHOOL AUSTIN
JEFFERSON,ALL SAINTS EPISCOPAL SCHOOL
SMITH,ALL SAINTS EPISCOPAL SCHOOL
TARRANT,ALL SAINTS EPISCOPAL SCHOOL
LUBBOCK,ALL SAINTS EPISCOPAL SCHOOL LUBBOCK
BRAZOS,ALLEN ACADEMY
TARRANT,ALLIANCE CHRISTIAN ACADEMY
WALKER,ALPHA OMEGA ACADEMY
GREGG,ALPINE CHRISTIAN ACADEMY
BREWSTER,ALPINE CHRISTIAN SCHOOL
BREWSTER,ALPINE CHRISTIAN SCHOOL
BREWSTER,ALPINE MONTESSORI SCHOOL
RANDALL,AMARILLO MONTESSORI ACADEMY
TOM GREEN,AMBLESIDE SCHOOL OF SAN ANGELO
COLLIN,AMEEN ACADEMY
TOM GREEN,ANGELO CATHOLIC SCHOOL
BRAZORIA,ANGLETON CHRISTIAN SCHOOL
COLLIN,ANN & NATE LEVINE ACADEMY
NUECES,ANNAPOLIS CHRISTIAN ACADEMY
HARRIS,ANNUNCIATION ORTHODOX SCHOOL
WEBB,APPLE BEE MATH AND SCIENCE ACADEMY
HARRIS,APPLE TREE SCHOOL
WILLIAMSON,APPLEGATE ADVENTIST JR ACADEMY
DALLAS,APPLESEED ACADEMY
DALLAS,ARBORCREEK MONTESSORI ACADEMY
DALLAS,ARBORCREEK MONTESSORI SCHOOL
GALVESTON,ARCADIA FIRST BAPTIST CHRISTIAN SCHOOL
COLLIN,ARCHGATE MONTESSORI CHRISTIAN ACADEMY
NUECES,ARLINGTON HEIGHTS CHRISTIAN SCHOOL
HARRIS,ARMAND BAYOU MONTESSORI
HARRIS,ASBURY METHODIST DAY SCHOOL
RANDALL,ASCENSION ACADEMY
DALLAS,ASCENSION DAY SCHOOL
TRAVIS,ASCENT: AN ACTON ACADEMY
GALVESTON,ASPIRE CHRISTIAN ACADEMY
HARRIS,ASSUMPTION CATHOLIC SCHOOL
HARRIS,ATASCOCITA MONTESSORI SCHOOL
HENDERSON,ATHENS CHRISTIAN PREPARATORY ACADEMY
TRAVIS,AUSTIN CHILDREN'S MONTESSORI
TRAVIS,AUSTIN INTERNATIONAL SCHOOL
TRAVIS,AUSTIN JEWISH ACADEMY
TRAVIS,AUSTIN MONTESSORI SCHOOL
TRAVIS,AUSTIN WALDORF SCHOOL
DALLAS,AUTISM TREATMENT CENTER DAY SCHOOL PROGRAM
COLLIN,AVVAI TAMIL CENTER
PARKER,AZLE CHRISTIAN SCHOOL
TRAVIS,BAIS MENACHEM HEBREW ACADEMY
FORT BEND,BAKERS PREP SCHOOL
DALLAS,BALCH SPRINGS CHRISTIAN ACADEMY
BASTROP,BASTROP MONTESSORI
GALVESTON,BAY AREA CHRISTIAN SCHOOL
HARRIS,BAY AREA MONTESSORI HOUSE
HARRIS,BAYTOWN CHRISTIAN ACADEMY
TARRANT,BEAR VALLEY ACADEMY
HARRIS,BECKER EARLY CHILDHOOD CENTER
FORT BEND,BEREAN CHRISTIAN ACADEMY
HARRIS,BETH YESHURUN DAY SCHOOL
COLLIN,BETHANY CHRISTIAN SCHOOL
BOWIE,BETHEL SDA SCHOOL
EL PASO,BETHESDA CHRISTIAN ACADEMY
ROCKWALL,BIG TYME SPORTS ACADEMY
DALLAS,BISHOP DUNNE CATHOLIC SCHOOL
NUECES,BISHOP GARRIGA MIDDLE SCHOOL
DALLAS,BISHOP LYNCH HIGH SCHOOL
SMITH,BISHOP TK GORMAN CATHOLIC SCHOOL
HARRIS,BKM  KATY TAMIL SCHOOL
BEXAR,BLESSED HOPE ACADEMY
BEXAR,BLESSED SACRAMENT CATHOLIC SCHOOL
WEBB,BLESSED SACRAMENT SCHOOL
WILLIAMSON,BLOOMING SCHOLARS MONTESSORI SCHOOL
HARRIS,BONNE VIE SCHOOL
JOHNSON,BOULEVARD BAPTIST CHRISTIAN SCHOOL
COMAL,BRACKEN CHRISTIAN SCHOOL
BRAZOS,BRAZOS VALLEY CORNERSTONE CHRISTIAN ACADEMY
BRAZORIA,BRAZOSPORT CHRISTIAN SCHOOL
COLLIN,BRECKINRIDGE MONTESSORI SCHOOL
TRAVIS,BRENTWOOD CHRISTIAN SCHOOL
FORT BEND,BRIDGE PREPARATORY ACADEMY
SMITH,BRIDGEMARK CENTER FOR LEARNING
TRAVIS,BRIDGES ACADEMY AUSTIN
BRAZORIA,BRIGHT LEARNERS ACADEMY
DALLAS,BRIGHT MINDS EARLY LEARNING CENTER
HARRIS,BRITISH INTERNATIONAL SCHOOL OF HOUSTON
HARRIS,BROOKHOLLOW CHRISTIAN ACADEMY
BROWN,BROWN COUNTY CHRISTIAN SCHOOL
DALLAS,BROWNS EARLY DISCOVERY  SCHOOL
CAMERON,BROWNSVILLE MONTESSORI ACADEMY
BEXAR,BUCKNER FANNING SCHOOL AT MISSION SPRINGS
JOHNSON,BURLESON ADVENTIST SCHOOL
TARRANT,BURTON ADVENTIST ACADEMY
MIDLAND,BYNUM SCHOOL
FORT BEND,C FC BILINGUAL ACADEMY
DALLAS,C P PREPARATORY SCHOOL
MONTGOMERY,CALVARY BAPTIST SCHOOL
LUBBOCK,CALVARY BAPTIST WEEKDAY MINISTRIES
GALVESTON,CALVARY CHILDHOOD EDUCATION MINISTRY
TARRANT,CALVARY CHRISTIAN ACADEMY
CAMERON,CALVARY CHRISTIAN SCHOOL
FORT BEND,CALVARY EPISCOPAL PREPARATORY
BASTROP,CALVARY EPISCOPAL SCHOOL
DALLAS,CALVARY LUTHERAN SCHOOL
DALLAS,CALVARY TEMPLE CHRISTIAN ACADEMY
COLLIN,"CAMBRIDGE ACADEMY, INC."
FORT BEND,CAMBRIDGE MONTESSORI SCHOOL
COLLIN,CANYON CREEK DAY SCHOOL
TRAVIS,CAPITOL SCHOOL OF AUSTIN
DALLAS,CARE CHILD DEVELOPMENT CENTER
DALLAS,CARLISLE SCHOOL
HARRIS,CAROLINE SCHOOL/EASTER SEALS CHILDRENS THERAPY
WILLIAMSON,CASA DE NINOS BILINGUAL MONTESSORI SCHOOL
FORT BEND,CASA DEI BAMBINI
TRAVIS,CASA MONTESSORI CHILD DEVELOPMENT CENTER
TRAVIS,CASNER CHRISTIAN ACADEMY
TARRANT,CASSATA HIGH SCHOOL
EL PASO,CATHEDRAL HIGH SCHOOL
TRAVIS,CATHEDRAL SCHOOL OF ST MARY
HAYS,CEI PRESCHOOL SPANISH IMMERSION SCHOOL
HARRIS,CENTER FOR TEACHING & LEARNING
HARRIS,CENTER FOR TEACHING AND LEARNING
MONTGOMERY,CENTRAL BAPTIST ACADEMY
RANDALL,CENTRAL BAPTIST CHRISTIAN ACADEMY
BEXAR,CENTRAL CATHOLIC HIGH SCHOOL -SAN ANTONIO
HARRIS,CENTRAL CHRISTIAN ACADEMY
LAMAR,CENTRAL PRESBYTERIAN DAY SCHOOL
BELL,CENTRAL TEXAS CHRISTIAN SCHOOL
COLLIN,CHALLENGER SCHOOL - LEGACY
WEBB,CHAMPIONS CHRISTIAN ACADEMY
BRAZOS,CHARLOTTE SHARP CHILDRENS CENTER (CSCC)
DALLAS,CHASE'S PLACE
HARRIS,CHILDRENS BUILDING BLOCKS
DALLAS,CHILDRENS DISCOVERY CENTER
BEXAR,CHILDRENS LIGHTHOUSE HELOTES
FORT BEND,CHILDRENS LIGHTHOUSE LEARNING CENTER
TARRANT,CHILDRENS UNIVERSITY
HARRIS,CHINQUAPIN PREPARATORY SCHOOL
JOHNSON,CHISHOLM TRAIL ACADEMY
DENTON,CHOICES LEADERSHIP ACADEMY
WICHITA,CHRIST ACADEMY
FORT BEND,CHRIST CHURCH SCHOOL
NACOGDOCHES,CHRIST EPISCOPAL SCHOOL
LUBBOCK,CHRIST THE KING CATHEDRAL SCHOOL
HARRIS,CHRIST THE REDEEMER CATHOLIC SCHOOL
GRAY,CHRISTIAN COMMUNITY SCHOOL
TARRANT,CHRISTIAN COTTAGE PREP
ANDERSON,CHRISTIAN HERITAGE ACADEMY
GREGG,CHRISTIAN HERITAGE CLASSICAL SCHOOL
SMITH,CHRISTIAN HERITAGE SCHOOL
HARRIS,CHRISTIAN SCHOOL OF NORTHWEST HOUSTON
LIBERTY,CHRYSALIS SCHOOL
FORT BEND,CINCO RANCH MONTESSORI
DALLAS,CISTERCIAN PREPARATORY SCHOOL
WASHINGTON,CITADEL CHRISTIAN SCHOOL
TRAVIS,CITY SCHOOL OF TEXAS
DALLAS,CLASSICAL SCHOOL OF DALLAS
TRAVIS,CLEARVIEW SUDBURY SCHOOL
JOHNSON,CLEBURNE ADVENTIST CHRISTIAN SCHOOL
JOHNSON,CLEBURNE CHRISTIAN ACADEMY
HARRIS,CLOUD OF LIGHT CHRISTIAN ACADEMY
NUECES,COGGIN MEMORIAL SCHOOL
BEXAR,COKER EARLY LEARNING CENTER
COLLIN,COLLIN COUNTY CORNERSTONE CHRISTIAN ACADEMY
BEXAR,COLONIAL HILLS UNITED METHODIST SCHOOL
WALLER,COMMUNITY CHRISTIAN ACADEMY
ORANGE,COMMUNITY CHRISTIAN SCHOOL
WILLIAMSON,COMMUNITY MONTESSORI SCHOOL
TRAVIS,CONCORDIA HIGH SCHOOL
HARRIS,CONCORDIA LUTHERAN HIGH SCHOOL
BEXAR,CONCORDIA LUTHERAN SCHOOL
HARRIS,CONGREGATION BETH ISRAEL
MONTGOMERY,CONROE ADVENTIST ACADEMY
MONTGOMERY,CONROE ADVENTIST ACADEMY
DALLAS,COPPELL MONTESSORI ACADEMY
DALLAS,COPPELL TAMIL LEARNING CENTER
DALLAS,CORAM DEO ACADEMY
